canonical_name,developer,operator,status_current,status_current_date,state,city,lat,long,capacity_mw,capacity_mw_source_confidence,source_url
Cologix Jacksonville JAX1,Cologix,Cologix,operational,,FL,Jacksonville,30.33218,-81.65565,,none,https://www.datacenters.com/providers/cologix/locations/united-states
Cologix Jacksonville JAX2,Cologix,Cologix,operational,,FL,Jacksonville,30.33218,-81.65565,,none,https://www.datacenters.com/providers/cologix/locations/united-states
Cologix Lakeland,Cologix,Cologix,operational,,FL,Lakeland,28.03947,-81.9498,,none,https://www.datacenters.com/providers/cologix/locations/united-states
Cologix Minneapolis MIN1,Cologix,Cologix,operational,,MN,Minneapolis,44.97997,-93.26384,,none,https://www.datacenters.com/providers/cologix/locations/united-states
Cologix Minneapolis MIN2,Cologix,Cologix,operational,,MN,Minneapolis,44.97997,-93.26384,,none,https://www.datacenters.com/providers/cologix/locations/united-states
Cologix Minneapolis MIN3,Cologix,Cologix,operational,,MN,Minneapolis,44.97997,-93.26384,,none,https://www.datacenters.com/providers/cologix/locations/united-states
Cologix Minneapolis MIN4,Cologix,Cologix,operational,,MN,Minneapolis,44.97997,-93.26384,,none,https://www.datacenters.com/providers/cologix/locations/united-states
Cologix Minneapolis MIN5,Cologix,Cologix,operational,,MN,Minneapolis,44.97997,-93.26384,,none,https://www.datacenters.com/providers/cologix/locations/united-states
Cologix New Jersey NNJ2,Cologix,Cologix,operational,,NJ,Cedar Knolls,40.82204,-74.44876,,none,https://www.datacenters.com/providers/cologix/locations/united-states
Cologix New Jersey NNJ3,Cologix,Cologix,operational,,NJ,Parsippany,40.85788,-74.42599,,none,https://www.datacenters.com/providers/cologix/locations/united-states
Cologix New Jersey NNJ4,Cologix,Cologix,operational,,NJ,Cedar Knolls,40.82204,-74.44876,,none,https://www.datacenters.com/providers/cologix/locations/united-states
Cologix Silicon Valley,Cologix,Cologix,operational,,CA,Santa Clara,37.23249,-121.69627,,none,https://www.datacenters.com/providers/cologix/locations/united-states
Compass Allen,Compass Datacenters,Compass Datacenters,operational,2017-12-31,TX,Allen,33.10317,-96.67055,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass Boston,Compass Datacenters,Compass Datacenters,announced,2024-01-01,MA,Boston,42.35843,-71.05977,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass Columbus 01,Compass Datacenters,Compass Datacenters,operational,2024-01-01,OH,Columbus,39.96118,-82.99879,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass Columbus 02,Compass Datacenters,Compass Datacenters,under_construction,2024-01-01,OH,Columbus,39.96118,-82.99879,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass Franklin (TN),Compass Datacenters,Compass Datacenters,operational,2024-01-01,TN,Franklin,35.15496,-86.09218,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass Illinois Campus,Compass Datacenters,Compass Datacenters,operational,2024-01-01,IL,Illinois City,41.39753,-90.89959,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass Meridian (Nampa),Compass Datacenters,Compass Datacenters,operational,2024-01-01,ID,Nampa,43.54072,-116.56346,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass Minneapolis,Compass Datacenters,Compass Datacenters,operational,2024-01-01,MN,Shakopee,44.79802,-93.5269,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass Nashville,Compass Datacenters,Compass Datacenters,operational,2024-01-01,TN,Nashville,36.16589,-86.78444,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass Northern Virginia (Leesburg),Compass Datacenters,Compass Datacenters,operational,2024-01-01,VA,Leesburg,39.11566,-77.5636,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass Phoenix (Goodyear),Compass Datacenters,Compass Datacenters,operational,2024-01-01,AZ,Goodyear,33.43532,-112.35821,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass PHX II Campus,Compass Datacenters,Compass Datacenters,operational,2024-01-01,AZ,El Mirage,33.61309,-112.3246,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass Portland OR,Compass Datacenters,Compass Datacenters,announced,2024-01-01,OR,Portland,45.52345,-122.67621,,none,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/101667334
Compass Raleigh,Compass Datacenters,Compass Datacenters,announced,2024-01-01,NC,Raleigh,35.7721,-78.63861,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Compass Red Oak Campus,Compass Datacenters,Compass Datacenters,operational,2025-10-29,TX,Red Oak,32.51764,-96.80444,360,medium,https://www.commercialsearch.com/news/compass-datacenters-lands-326m-for-dfw-campus/
Compass Reno NV,Compass Datacenters,Compass Datacenters,announced,2024-01-01,NV,Reno,39.52963,-119.8138,,none,https://www.spglobal.com/ratings/en/regulatory/article/-/view/sourceId/101667334
Compass Tulsa,Compass Datacenters,Compass Datacenters,announced,2024-01-01,OK,Tulsa,36.12108,-95.94148,,none,https://www.datacenters.com/providers/compass-datacenters/data-center-locations
Connect Albuquerque,Oppidan,Connect Data Centers,permitting,2024-09-01,NM,Albuquerque,35.08449,-106.65114,10,low,https://www.datacenterdynamics.com/en/news/oppidan-files-for-data-center-in-albuquerque-new-mexico/
Connect Chicago,Oppidan,Connect Data Centers,under_construction,2024-11-28,IL,Carol Stream,41.91253,-88.13479,,,low|https://www.datacenterdynamics.com/en/news/oppidan-breaks-ground-on-chicago-data-center/
Connect Des Moines,Oppidan,Connect Data Centers,operational,2024-07-01,IA,Des Moines,40.92318,-91.18147,5,low,https://www.weitz.com/projects/oppidan-data-center/
Connect Eagan,Oppidan,Connect Data Centers,under_construction,2025-06-05,MN,Eagan,44.80413,-93.16689,5,medium,https://www.datacenterdynamics.com/en/news/oppidan-breaks-ground-on-data-center-in-eagan-minnesota/
Connect El Paso,Oppidan,Connect Data Centers,permitting,2024-01-01,TX,El Paso,31.76855,-106.23483,5,low,https://www.datacentermap.com/usa/texas/el-paso/connect-el-paso/
Connect Olathe,Oppidan,Connect Data Centers,operational,2024-01-01,KS,Olathe,38.8814,-94.81913,,,low|https://baxtel.com/data-center/connect-data-centers-olathe-ks
Connect Papillion,Oppidan,Connect Data Centers,under_construction,2025-01-01,NE,Papillion,41.15444,-96.04224,5,low,https://baxtel.com/data-center/connect-data-centers-papillion-ne
Connect Reno,Oppidan,Connect Data Centers,approved,2025-03-17,NV,Reno,39.52963,-119.8138,5,medium,https://www.datacenterdynamics.com/en/news/oppidan-gains-approval-for-5mw-data-center-in-reno-nevada/
Connect Temple,Oppidan,Connect Data Centers,permitting,2025-04-07,TX,Temple,31.09823,-97.34278,5,medium,https://www.datacenterdynamics.com/en/news/oppidan-files-for-5mw-data-center-in-temple-texas/
Core Scientific Auburn 1,Core Scientific,Core Scientific,operational,2019-01-01,AL,Auburn,32.60986,-85.48078,50,low,https://corescientific.com/high-density-data-centers/
Core Scientific Austin 1,Core Scientific,Core Scientific,operational,2024-01-01,TX,Austin,29.88702,-96.27791,50,low,https://corescientific.com/high-density-data-centers/
Core Scientific Calvert 1 2 3,Core Scientific,Core Scientific,operational,2019-11-12,KY,Calvert City,37.03339,-88.35004,150,high,https://corescientific.com/high-density-data-centers/calvert-city-ky/
Core Scientific Cottonwood 1 & 2,Core Scientific,Core Scientific,operational,2025-07-15,TX,Pecos,30.78106,-102.72357,250,high,https://corescientific.com/high-density-data-centers/pecos-tx/
Core Scientific Dalton 1 & 2,Core Scientific,Core Scientific,operational,2025-08-06,GA,Dalton,34.7698,-84.97022,50,high,https://corescientific.com/high-density-data-centers/dalton-ga-dnn1-2/
Core Scientific Dalton 3,Core Scientific,Core Scientific,operational,2025-07-16,GA,Dalton,34.7698,-84.97022,142,high,https://corescientific.com/high-density-data-centers/dalton-ga-dnn3/
Core Scientific Dalton 4,Core Scientific,Core Scientific,under_construction,2026-03-17,GA,Dalton,34.7698,-84.97022,145,medium,https://www.datacenterdynamics.com/en/news/core-scientific-plans-new-ai-data-centers-in-dalton-georgia/
Core Scientific Denton 1,Core Scientific,Core Scientific,operational,2024-01-01,TX,Denton,32.25874,-99.53952,100,low,https://corescientific.com/high-density-data-centers/
Core Scientific Grand Forks 1,Core Scientific,Core Scientific,operational,2022-03-01,ND,Grand Forks,47.92192,-97.45693,100,high,https://corescientific.com/high-density-data-centers/grand-forks-nd/
Core Scientific Marble 1,Core Scientific,Core Scientific,operational,2026-03-06,NC,Marble,35.17509,-83.92491,117,high,https://corescientific.com/high-density-data-centers/marble-nc/
Core Scientific Muskogee 1,Core Scientific,Core Scientific,operational,2025-01-01,OK,Muskogee,35.61613,-95.37953,50,low,https://corescientific.com/high-density-data-centers/
CoreSite AT1,CoreSite,CoreSite,operational,2001-01-01,GA,Atlanta,33.749,-84.38798,,none,https://www.coresite.com/data-center-locations/atlanta
CoreSite AT2,CoreSite,CoreSite,operational,2012-01-01,GA,Marietta,33.9526,-84.54993,,none,https://www.coresite.com/data-center-locations/atlanta
CoreSite BO1,CoreSite,CoreSite,operational,2007-01-01,MA,Somerville,42.3876,-71.0995,,none,https://www.coresite.com/data-center-locations/boston
CoreSite CH1,CoreSite,CoreSite,operational,2007-01-01,IL,Chicago,41.85003,-87.65005,,none,https://www.coresite.com/data-center-locations/chicago
CoreSite CH2,CoreSite,CoreSite,operational,2020-01-01,IL,Chicago,41.85003,-87.65005,,none,https://www.coresite.com/data-center-locations/chicago
CoreSite DC1,CoreSite,CoreSite,operational,2001-01-01,DC,Washington,38.89511,-77.03637,,none,https://www.coresite.com/data-center-locations/washington-dc
CoreSite DC2,CoreSite,CoreSite,operational,2001-01-01,DC,Washington,38.89511,-77.03637,,none,https://www.coresite.com/data-center-locations/washington-dc
CoreSite DE1,CoreSite,CoreSite,operational,2012-01-01,CO,Denver,39.76204,-104.87635,,none,https://www.coresite.com/data-center-locations/denver
CoreSite DE2,CoreSite,CoreSite,operational,2012-01-01,CO,Denver,39.76204,-104.87635,,none,https://www.coresite.com/data-center-locations/denver
CoreSite DE3,CoreSite,CoreSite,operational,2023-01-01,CO,Denver,39.76204,-104.87635,,none,https://www.coresite.com/data-center-locations/denver
CoreSite LA1,CoreSite,CoreSite,operational,2001-01-01,CA,Los Angeles,34.19801,-118.26102,,none,https://www.coresite.com/data-center/la1-los-angeles-ca
CoreSite LA2,CoreSite,CoreSite,operational,2010-01-01,CA,Los Angeles,34.19801,-118.26102,,none,https://www.coresite.com/data-center/la2-los-angeles-ca
CoreSite LA3,CoreSite,CoreSite,operational,2018-01-01,CA,Los Angeles,34.19801,-118.26102,,none,https://www.coresite.com/data-center-locations/los-angeles
CoreSite MI1,CoreSite,CoreSite,operational,2001-01-01,FL,Miami,25.77427,-80.19366,,none,https://www.coresite.com/data-center-locations/miami
CoreSite MI2,CoreSite,CoreSite,operational,2016-01-01,FL,Doral,25.81954,-80.35533,,none,https://www.coresite.com/data-center-locations/miami
CoreSite NY1,CoreSite,CoreSite,operational,2001-01-01,NY,New York,40.77427,-73.96981,,none,https://www.coresite.com/data-center-locations/new-york
CoreSite NY2,CoreSite,CoreSite,operational,2014-01-01,NJ,Secaucus,40.78955,-74.05653,,none,https://www.coresite.com/data-center-locations/new-york
CoreSite NY3,CoreSite,CoreSite,operational,2018-01-01,NJ,Secaucus,40.78955,-74.05653,,none,https://www.coresite.com/data-center-locations/new-york
CoreSite OR1,CoreSite,CoreSite,operational,2015-01-01,FL,Orlando,28.53834,-81.37924,,none,https://www.coresite.com/data-center-locations/orlando
CoreSite SV1,CoreSite,CoreSite,operational,2001-01-01,CA,San Jose,37.33939,-121.89496,,none,https://www.coresite.com/data-center-locations/silicon-valley
CoreSite SV2,CoreSite,CoreSite,operational,2001-01-01,CA,Milpitas,37.42827,-121.90662,,none,https://www.coresite.com/data-center-locations/silicon-valley
CoreSite SV3,CoreSite,CoreSite,operational,2001-01-01,CA,Santa Clara,37.23249,-121.69627,,none,https://www.coresite.com/data-center-locations/silicon-valley
CoreSite SV4,CoreSite,CoreSite,operational,2011-01-01,CA,Santa Clara,37.23249,-121.69627,,none,https://www.coresite.com/data-center-locations/silicon-valley
CoreSite SV7,CoreSite,CoreSite,operational,2019-01-01,CA,Santa Clara,37.23249,-121.69627,,none,https://www.coresite.com/data-center-locations/silicon-valley
CoreSite SV8,CoreSite,CoreSite,operational,2020-01-01,CA,Santa Clara,37.23249,-121.69627,,none,https://www.coresite.com/data-center-locations/silicon-valley
CoreSite VA1,CoreSite,CoreSite,operational,2008-01-01,VA,Reston,38.96872,-77.3411,,none,https://www.coresite.com/data-center-locations/northern-virginia
CoreSite VA2,CoreSite,CoreSite,operational,2014-01-01,VA,Reston,38.96872,-77.3411,,none,https://www.coresite.com/data-center-locations/northern-virginia
CoreSite VA3,CoreSite,CoreSite,operational,2020-01-01,VA,Reston,38.96872,-77.3411,,none,https://www.coresite.com/data-center-locations/northern-virginia
CoreWeave Austin,Core Scientific,Core Scientific,operational,2024-01-01,TX,Austin,29.88702,-96.27791,16,medium,https://dgtlinfra.com/coreweave-data-center-locations/
CoreWeave Chester,CoreWeave,Chirisa Technology Parks,operational,2024-06-01,VA,Chester,37.35682,-77.44165,28,medium,https://dgtlinfra.com/coreweave-data-center-locations/
CoreWeave Douglasville,CoreWeave,Flexential,operational,2024-06-01,GA,Douglasville,33.7515,-84.74771,9,medium,https://dgtlinfra.com/coreweave-data-center-locations/
CoreWeave Hillsboro,CoreWeave,Flexential,operational,2024-06-01,OR,Hillsboro,45.52289,-122.98983,9,medium,https://dgtlinfra.com/coreweave-data-center-locations/
CoreWeave Plano,CoreWeave,Lincoln Rackhouse,operational,2024-06-01,TX,Plano,33.01984,-96.69889,30,medium,https://dgtlinfra.com/coreweave-data-center-locations/
CoreWeave Secaucus,CoreWeave,Equinix,operational,2024-06-01,NJ,Secaucus,40.78955,-74.05653,10,low,https://dgtlinfra.com/coreweave-data-center-locations/
CoreWeave US Central ORD1,CoreWeave,CoreWeave,operational,2024-06-01,IL,Elk Grove Village,42.00392,-87.97035,50,low,https://dgtlinfra.com/coreweave-data-center-locations/
CoreWeave US East LGA1,CoreWeave,CoreWeave,operational,2024-06-01,NJ,Weehawken,40.76955,-74.02042,50,low,https://dgtlinfra.com/coreweave-data-center-locations/
CoreWeave US West LAS1,CoreWeave,Switch Inc,operational,2024-06-01,NV,Las Vegas,36.17497,-115.13722,50,low,https://dgtlinfra.com/coreweave-data-center-locations/
Corscale Gainesville Crossing,Corscale (Patrinely/Affinius),Corscale,operational,2025-01-01,VA,Gainesville,38.79567,-77.61388,325,high,https://www.corgan.com/projects/corscale-gainesville-crossing-data-center-campus
Corscale Kincora,Corscale (Patrinely/Affinius),Corscale,permitting,,VA,Sterling,39.00622,-77.4286,140,low,https://baxtel.com/data-centers/corscale
CRG Clayco - 57 Active Data Center Projects,CRG (Clayco),various,operational,2025-01-20,VARIOUS,various,,,3000,low,https://www.datacenterdynamics.com/en/news/us-contractor-clayco-launches-clayco-compute-to-focus-on-data-centers/
CRG Clayco - Confidential Client Indiana Campus,CRG (Clayco),various,operational,2025-01-20,IN,South Bend,41.68338,-86.25001,unresearchable,none,https://claycorp.com/work/mission-critical
CRG Clayco - Festus Data Center Campus,CRG (Clayco),various,announced,2026-03-31,MO,Festus,38.22061,-90.39595,unresearchable,none,https://www.ksdk.com/article/news/local/whats-next-for-a-proposed-data-center-in-festus/63-4ed05a53-81d8-4752-b3ab-0656a189bc66
CRG Clayco - Mesa Arizona Campus,CRG (Clayco),various,operational,2025-09-15,AZ,Mesa,33.42227,-111.82264,280,low,https://claycorp.com/work/mission-critical
CRG Clayco - Wyoming Confidential Hyperscale,CRG (Clayco),various,operational,2025-09-15,WY,undisclosed,,,unresearchable,none,https://claycorp.com/work/mission-critical
Crusoe Abilene,Crusoe Energy,Crusoe Energy,operational,2025-06-01,TX,Abilene,32.44874,-99.73314,1200,high,https://www.crusoe.ai/resources/newsroom/crusoe-expands-ai-data-center-campus-in-abilene-to-1-2-gigawatts
Crusoe Abilene Microsoft Campus,Crusoe Energy,Crusoe Energy,under_construction,2026-03-27,TX,Abilene,32.44874,-99.73314,900,high,https://www.crusoe.ai/resources/newsroom/crusoe-announces-new-900-mw-ai-factory-campus-in-abilene-texas-to-support-microsoft-ai-infrastructure
Crusoe Modular DFM Sites,Crusoe Energy,NYDIG (acquired 2025-03),operational,2025-03-25,CO,Various,,,250,medium,https://www.crusoe.ai/resources/newsroom/nydig-to-acquire-crusoes-bitcoin-mining-operation-crusoe-to-scale-vertically
Crusoe Modular DFM Sites,Crusoe Energy,NYDIG (acquired 2025-03),operational,2025-03-25,ND,Williston,48.14697,-103.61797,250,medium,https://www.crusoe.ai/resources/newsroom/nydig-to-acquire-crusoes-bitcoin-mining-operation-crusoe-to-scale-vertically
Crusoe Modular DFM Sites,Crusoe Energy,NYDIG (acquired 2025-03),operational,2025-03-25,MT,Sidney,47.71668,-104.15633,250,medium,https://www.crusoe.ai/resources/newsroom/nydig-to-acquire-crusoes-bitcoin-mining-operation-crusoe-to-scale-vertically
Crusoe Modular DFM Sites,Crusoe Energy,NYDIG (acquired 2025-03),operational,2025-03-25,WY,Various,,,250,medium,https://www.crusoe.ai/resources/newsroom/nydig-to-acquire-crusoes-bitcoin-mining-operation-crusoe-to-scale-vertically
Crusoe Modular DFM Sites,Crusoe Energy,NYDIG (acquired 2025-03),operational,2025-03-25,TX,Midland,31.86917,-102.03162,250,medium,https://www.crusoe.ai/resources/newsroom/nydig-to-acquire-crusoes-bitcoin-mining-operation-crusoe-to-scale-vertically
Crusoe Modular DFM Sites,Crusoe Energy,NYDIG (acquired 2025-03),operational,2025-03-25,NM,Various,,,250,medium,https://www.crusoe.ai/resources/newsroom/nydig-to-acquire-crusoes-bitcoin-mining-operation-crusoe-to-scale-vertically
Crusoe Modular DFM Sites,Crusoe Energy,NYDIG (acquired 2025-03),operational,2025-03-25,UT,Various,,,250,medium,https://www.crusoe.ai/resources/newsroom/nydig-to-acquire-crusoes-bitcoin-mining-operation-crusoe-to-scale-vertically
Crusoe Wyoming Campus (Project Jade),Crusoe Energy (Tallgrass JV),Crusoe Energy,approved,2026-01-08,WY,Cheyenne,41.13998,-104.82025,2700,high,https://www.crusoe.ai/resources/newsroom/crusoe-and-tallgrass-announce-ai-data-center-in-wyoming
Csquare - Ashburn Campus,Csquare (Centersquare),Csquare,operational,2024-04-01,VA,Ashburn,39.04372,-77.48749,unresearchable,none,https://www.datacentermap.com/c/centersquare/
Csquare - Boston Data Center,Csquare (Centersquare),Csquare,operational,2025-10-02,MA,Boston,42.35843,-71.05977,unresearchable,none,https://www.csquare.com/blog/centersquare-builds-backbone-for-ai-era-with-1-billion-dollar-expansion
Csquare - Columbus Data Center,Csquare (Centersquare),Csquare,operational,2024-04-01,OH,Columbus,39.96118,-82.99879,unresearchable,none,https://www.datacentermap.com/c/centersquare/
Csquare - Dallas Data Center,Csquare (Centersquare),Csquare,operational,2025-10-02,TX,Dallas,32.76663,-96.77787,unresearchable,none,https://www.datacenterdynamics.com/en/news/brookfields-centersquare-acquires-10-data-centers-in-north-america-in-1bn-deal/
Csquare - Fort Worth Data Center,Csquare (Centersquare),Csquare,operational,2024-04-01,TX,Fort Worth,32.72541,-97.32085,unresearchable,none,https://www.datacentermap.com/c/centersquare/
Csquare - Minneapolis Data Center,Csquare (Centersquare),Csquare,operational,2025-10-02,MN,Minneapolis,44.97997,-93.26384,unresearchable,none,https://www.csquare.com/blog/centersquare-builds-backbone-for-ai-era-with-1-billion-dollar-expansion
Csquare - Nashville Data Center,Csquare (Centersquare),Csquare,operational,2025-10-02,TN,Nashville,36.16589,-86.78444,unresearchable,none,https://www.csquare.com/blog/centersquare-builds-backbone-for-ai-era-with-1-billion-dollar-expansion
Csquare - Raleigh Data Center,Csquare (Centersquare),Csquare,operational,2025-10-02,NC,Raleigh,35.7721,-78.63861,unresearchable,none,https://www.csquare.com/blog/centersquare-builds-backbone-for-ai-era-with-1-billion-dollar-expansion
Csquare - Sterling Campus,Csquare (Centersquare),Csquare,operational,2024-04-01,VA,Sterling,39.00622,-77.4286,unresearchable,none,https://www.datacentermap.com/c/centersquare/
Csquare - Tulsa Data Center,Csquare (Centersquare),Csquare,operational,2025-10-02,OK,Tulsa,36.12108,-95.94148,unresearchable,none,https://www.csquare.com/blog/centersquare-builds-backbone-for-ai-era-with-1-billion-dollar-expansion
Culpeper Acquisitions Brandy Station,Culpeper Acquisitions LLC,Culpeper Acquisitions LLC,rejected,2024-06-12,VA,Brandy Station,38.50179,-77.89361,460,low,https://www.datacenterdynamics.com/en/news/county-planners-recommend-denial-of-brandy-station-data-center-campus-in-culpeper-county/
CyrusOne / Calpine DFW10,CyrusOne (Calpine JV),CyrusOne,under_construction,2025-07-30,TX,Whitney,31.95182,-97.3214,190,high,https://www.cyrusone.com/resources/press-releases/calpine-and-cyrusone-announce-phase-2-of-powered-land-agreement-to-support-hyperscale-data-center-at-thad-hill-energy-center-in-texas
CyrusOne / Calpine DFW11,CyrusOne (Calpine JV),CyrusOne,under_construction,2025-05-01,TX,Whitney,31.95182,-97.3214,,none,https://baxtel.com/data-center/cyrusone-dfw10
CyrusOne / Calpine DFW17,CyrusOne (Calpine JV),CyrusOne,announced,2025-12-08,TX,Whitney,31.95182,-97.3214,,none,https://www.datacenterdynamics.com/en/news/cyrusone-files-to-expand-data-center-campus-outside-waco-texas/
CyrusOne / Calpine DFW17B,CyrusOne (Calpine JV),CyrusOne,announced,2025-12-08,TX,Whitney,31.95182,-97.3214,,none,https://www.datacenterdynamics.com/en/news/cyrusone-files-to-expand-data-center-campus-outside-waco-texas/
CyrusOne / Calpine DFW17C,CyrusOne (Calpine JV),CyrusOne,announced,2025-12-08,TX,Whitney,31.95182,-97.3214,,none,https://www.datacenterdynamics.com/en/news/cyrusone-files-to-expand-data-center-campus-outside-waco-texas/
CyrusOne / Calpine Freestone,CyrusOne (Calpine JV),CyrusOne,announced,2026-02-09,TX,Fairfield,31.72461,-96.16525,380,high,https://www.constellationenergy.com/news/2026/02/constellation-and-cyrusone-announce-agreement-to-support-new-data-center-facility-at-freestone-energy-center-in-texas.html
CyrusOne AUS2,CyrusOne,CyrusOne,operational,,TX,Austin,29.88702,-96.27791,9,medium,https://www.datacenters.com/cyrusone-aus2-austin
CyrusOne AUS3,CyrusOne,CyrusOne,operational,,TX,Austin,29.88702,-96.27791,18,medium,https://www.datacentermap.com/usa/texas/austin/cyrusone-aus3/
CyrusOne CHI1-CHI3,CyrusOne,CyrusOne,operational,,IL,Aurora,41.76058,-88.32007,109,high,https://www.cyrusone.com/data-centers/north-america/aurora-il
CyrusOne CHI5,CyrusOne,CyrusOne,operational,,IL,Lombard,41.88003,-88.00784,9,medium,https://baxtel.com/data-center/cyrusone-lombard-chi5
CyrusOne CHI6 / Wood Dale,CyrusOne,CyrusOne,announced,,IL,Wood Dale,41.96336,-87.97896,,none,https://www.datacenters.com/providers/cyrusone/locations/united-states/illinois
CyrusOne CIN2,CyrusOne,CyrusOne,operational,,OH,Cincinnati,39.12711,-84.51439,12,medium,https://www.cyrusone.com/data-centers/north-america/cincinnati-ohio
CyrusOne CIN3,CyrusOne,CyrusOne,operational,,OH,Mason,39.36006,-84.30994,1.7,medium,https://www.datacentermap.com/usa/ohio/cincinnati/cyrusone-ohio-mason/specs/
CyrusOne CIN4,CyrusOne,CyrusOne,operational,,OH,Hamilton,39.19553,-84.54277,4,medium,https://inflect.com/building/103-knightsbridge-drive-hamilton/cyrusone/datacenter/cyrusone-cincinnati-hamilton
CyrusOne CIN5,CyrusOne,CyrusOne,operational,,OH,Lebanon,39.43534,-84.20299,8.1,medium,https://cloudandcolocation.com/datacenters/cyrusone-north-cincinnati-data-center-lebanon/
CyrusOne CIN6,CyrusOne,CyrusOne,operational,,KY,Florence,38.99895,-84.62661,4,medium,https://www.datacenters.com/cyrusone-cin6-florence
CyrusOne CIN97,CyrusOne,CyrusOne,operational,,OH,Blue Ash,39.232,-84.37827,0.9,medium,https://www.ocolo.io/colocation/cyrusone/cin97-cincinnati-blue-ash/
CyrusOne DFW1,CyrusOne,CyrusOne,operational,,TX,Carrollton,32.95373,-96.89028,11,medium,https://baxtel.com/data-center/cyrusone-carrollton
CyrusOne DFW2,CyrusOne,CyrusOne,operational,,TX,Lewisville,33.04623,-96.99417,26,medium,https://inflect.com/building/2501-s-state-highway-tx-121-lewisville/cyrusone/datacenter/cyrusone-dallas-lewisville
CyrusOne DFW3-DFW5,CyrusOne,CyrusOne,operational,,TX,Allen,33.10317,-96.67055,,none,https://www.cyrusone.com/data-centers/north-america/allen-texas
CyrusOne DUR1,CyrusOne,CyrusOne,operational,,NC,Durham,36.036,-78.87632,50,medium,https://www.ocolo.io/colocation/cyrusone/durham-dur1/
CyrusOne HOU3-HOU4,CyrusOne,CyrusOne,operational,,TX,Houston,31.31773,-95.42268,91,high,https://www.cyrusone.com/data-centers/north-america/houston-tx
CyrusOne Mesa,CyrusOne,CyrusOne,permitting,2024-08-02,AZ,Mesa,33.42227,-111.82264,,none,https://www.datacenterdynamics.com/en/news/mesa-planning-officials-recommend-approval-for-cyrusone-and-pacific-proving-data-center-campuses/
CyrusOne NVA1-NVA3,CyrusOne,CyrusOne,operational,,VA,Sterling,39.00622,-77.4286,84,high,https://www.cyrusone.com/data-centers/north-america/sterling-va-nva1-nva3
CyrusOne NVA14,CyrusOne,CyrusOne,operational,2024-12-10,VA,Ashburn,39.04372,-77.48749,36,high,https://www.datacenterdynamics.com/en/news/cyrusone-acquires-leased-data-center-in-ashburn-from-powerhouse/
CyrusOne NVA4,CyrusOne,CyrusOne,operational,,VA,Sterling,39.00622,-77.4286,12.6,high,https://www.cyrusone.com/data-centers/north-america/sterling-virginia-nva4
CyrusOne NVA5-NVA7,CyrusOne,CyrusOne,operational,,VA,Sterling,39.00622,-77.4286,81,high,https://www.cyrusone.com/data-centers/north-america/sterling-va-nva5-nva7
CyrusOne NVA8,CyrusOne,CyrusOne,operational,,VA,Sterling,39.00622,-77.4286,24,high,https://www.cyrusone.com/data-centers/north-america/sterling-virginia-nva8
CyrusOne NVA9,CyrusOne,CyrusOne,operational,,VA,Sterling,39.00622,-77.4286,135,high,https://www.cyrusone.com/data-centers/north-america/sterling-virginia-nva9
CyrusOne NYM1,CyrusOne,CyrusOne,operational,,NJ,Somerset,40.56351,-74.61631,40,medium,https://www.cyrusone.com/data-centers/north-america/somerset-nj
CyrusOne NYM10,CyrusOne,CyrusOne,operational,,CT,Stamford,41.05343,-73.53873,4,high,https://www.datacenters.com/cyrusone-nym10-stamford
CyrusOne NYM2,CyrusOne,CyrusOne,operational,,NJ,Totowa,40.91677,-74.17181,16,high,https://datacanopy.com/data-centers/totowa-nj/
CyrusOne NYM5,CyrusOne,CyrusOne,operational,,CT,Norwalk,41.1176,-73.4079,16,high,https://www.cyrusone.com/data-centers/north-america/norwalk-ct
CyrusOne NYM7,CyrusOne,CyrusOne,operational,,NY,Wappingers Falls,41.59648,-73.91097,10,high,https://www.cyrusone.com/data-centers/north-america/wappingers-falls-ny
CyrusOne OCB1,CyrusOne,CyrusOne,operational,,IA,Council Bluffs,41.26194,-95.86083,18,high,https://www.cyrusone.com/data-centers/north-america/council-bluffs-ia
CyrusOne PHX1-PHX8,CyrusOne,CyrusOne,operational,,AZ,Chandler,33.30616,-111.84125,81,high,https://www.datacenterdynamics.com/en/news/cyrusone-plots-second-phoenix-campus-in-mesa/
CyrusOne PNW1,CyrusOne,CyrusOne,operational,,WA,Quincy,47.2343,-119.85255,96,medium,https://www.cyrusone.com/data-centers/north-america/quincy-washington
